633-IOU:0.7738611601702946,disc:0.9160876536611438,cup:0.6221049545587805
634-IOU:0.8262859345810004,disc:0.9396797922977066,cup:0.7080454096742349
635-IOU:0.8945807934815745,disc:0.9380736071196811,cup:0.8638151425762045
636-IOU:0.8725540846250627,disc:0.9229207052524693,cup:0.840566037735849
637-IOU:0.9182857228808871,disc:0.9413833528722158,cup:0.9003042358998362
638-IOU:0.8334360025921344,disc:0.9700898231317715,cup:0.7161045342863525
639-IOU:0.8430801719026096,disc:0.9841829356471439,cup:0.6946308724832215
640-IOU:0.8307669905330161,disc:0.9727657324167107,cup:0.7057050592034446
641-IOU:0.8927666391533323,disc:0.9356783206864762,cup:0.8670024249207238
642-IOU:0.9008605833432162,disc:0.9656533754441374,cup:0.852652586063529
643-IOU:0.9245315360071503,disc:0.9749115681907506,cup:0.8988286969253294
644-IOU:0.8578449798369153,disc:0.9092287284441918,cup:0.8530832622904234
645-IOU:0.8477649343901948,disc:0.9364964464332719,cup:0.8214003685180311
646-IOU:0.9077698987015146,disc:0.9547872340425532,cup:0.8890586797066015
647-IOU:0.8608658889604249,disc:0.9334424887433483,cup:0.8506961113778204
648-IOU:0.8189424026098792,disc:0.9403254972875226,cup:0.7184160905091138
649-IOU:0.8992808466626592,disc:0.9483195682394309,cup:0.8562152133580705
650-IOU:0.8297870360403706,disc:0.9337851522941497,cup:0.7582715602965105
0.853114210680038
[0.94730368 0.78880154]
